"","ID","COUNTY","NAME","STNAME","POPESTIMATE2015","CTYNAME","TOT_POP","TOT_MALE","TOT_FEMALE","WHITE","HISPANIC","BLACK","ASIAN","NATIVE","OTHER","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","00..10","10..15","15..25","25..35","35..50","50..75","75..100","100..150","150..200","200..999","LESS_THAN_HS","HS_DEGREE","SOME_COLLEGE","BS_DEGREE"
"1",1,"11001","Aartselaar","Vlaanderen",14890,"Aartselaar",14890,0.496507723304231,0.503492276695769,1,0,0,0,0,0,0.0467427803895232,0.0509066487575554,0.0554734721289456,0.0534586971121558,0.0511081262592344,0.0478844862323707,0.057824042981867,0.0579583613163197,0.0620550705171256,0.0570852921423774,0.0657488247145735,0.0701813297515111,0.070584284754869,0.0603089321692411,0.0569509738079248,0.0595701813297515,0.0364674278038952,0.0396910678307589,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.319984634591376,0.383270911360799,0.0734658599827139,0.223278594065111
"2",2,"11002","Anvers","Vlaanderen",544759,"Anvers",544759,0.501181256298657,0.498818743701343,1,0,0,0,0,0,0.0616272516837721,0.0625304033526752,0.0639346940573722,0.0593712081856381,0.06152445393284,0.0813295420543763,0.081349734469738,0.0726100899663888,0.0681035099924921,0.0622660662788499,0.0593106309395531,0.0554153304488774,0.0505709864362039,0.0439203390857241,0.0363353336062369,0.0313551497084032,0.0219197847121388,0.02652549108872,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.454821601899171,0.332854837389342,0.0693653448094397,0.142958215902048
"3",3,"11004","Boechout","Vlaanderen",13831,"Boechout",13831,0.487166510013737,0.512833489986263,1,0,0,0,0,0,0.0430916058130287,0.0491649193839925,0.0564673559395561,0.0597932181331791,0.0584194924445087,0.046489769358687,0.0519846721133685,0.057985684332297,0.0600101221892849,0.0593594100209674,0.0665172438724604,0.0754826115248355,0.0806160075193406,0.0657219290000723,0.0532137950979683,0.0457667558383342,0.0286313354059721,0.0412840720121466,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.29923273657289,0.370524296675192,0.0829070758738278,0.24733589087809
"4",4,"11005","Boom","Vlaanderen",19431,"Boom",19431,0.498018630024188,0.501981369975812,1,0,0,0,0,0,0.0584632803252535,0.0671092584015233,0.0698883227831815,0.0653080129689671,0.0628891976738202,0.0603674540682415,0.0657197262106942,0.0679841490401935,0.0655653337450466,0.0622716278112295,0.0618084504142864,0.0658741186763419,0.0583088878596058,0.0454428490556327,0.0356131954093974,0.0350470897020225,0.0231588698471515,0.0291801760074108,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.44465137067938,0.350789630512515,0.0744934445768772,0.130065554231228
"5",5,"11007","Borsbeek","Vlaanderen",11379,"Borsbeek",11379,0.488179980666139,0.511820019333861,1,0,0,0,0,0,0.0660866508480534,0.0645047895245628,0.0613410668775815,0.050971087090254,0.0480710079971878,0.0574742947534933,0.0735565515423148,0.0720625714034625,0.0645047895245628,0.0538711661833201,0.0582652254152386,0.0622198787239652,0.0623956410932419,0.0564197205378328,0.050268037613147,0.0444678794270147,0.0258370682836805,0.0276825731610862,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.394680177327422,0.366814439518683,0.0837238758708043,0.154781507283091
"6",6,"11008","Brasschaat","Vlaanderen",38470,"Brasschaat",38470,0.477930855211853,0.522069144788147,1,0,0,0,0,0,0.0422667013257083,0.0496490772030153,0.0542760592669613,0.0548219391733819,0.0516246425786327,0.0436184039511308,0.0497270600467897,0.0596308812061346,0.0606706524564596,0.0576553158305173,0.0665973485833117,0.0713283077722901,0.0741616844294255,0.0689108396152846,0.0612425266441383,0.0540940992981544,0.0377956849493112,0.0419287756693527,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.311864785376568,0.395592122407952,0.0723353560924761,0.220207736123004
"7",7,"11009","Brecht","Vlaanderen",30610,"Brecht",30610,0.498497223129696,0.501502776870304,1,0,0,0,0,0,0.0481215289121202,0.0540346292061418,0.0509310682783404,0.0515844495262986,0.0548513557660895,0.0484155504737014,0.0612218229336818,0.0630512904279647,0.0624959163672003,0.0548513557660895,0.0700751388435152,0.0786997713165632,0.0832407709898726,0.0696831100947403,0.0507677229663509,0.0426004573668736,0.0280300555374061,0.02734400522705,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.343366478545194,0.401549762608618,0.0860879691839111,0.168995789662277
"8",8,"11013","Edegem","Vlaanderen",23009,"Edegem",23009,0.483506453996262,0.516493546003738,1,0,0,0,0,0,0.0558042505106697,0.0588465383110957,0.05919422834543,0.0496327524012343,0.0493719848754835,0.0481116085010213,0.0637141987917771,0.0678864792037898,0.0652353426919901,0.0548046416619584,0.0541527228475814,0.0598896084140988,0.0672780216437046,0.0638445825546525,0.0571950106480073,0.0485027597896475,0.0336824720761441,0.0428527967317137,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.280041152263375,0.382030178326475,0.0778463648834019,0.260082304526749
"9",9,"11016","Essen","Vlaanderen",19630,"Essen",19630,0.498573611818645,0.501426388181355,1,0,0,0,0,0,0.0503311258278146,0.0558838512480897,0.0622007131940907,0.0573102394294447,0.0538970962812022,0.0520122261844116,0.0635761589403974,0.0612328069281712,0.0628629648497198,0.0594498217014773,0.06571574121243,0.074223127865512,0.0772287315333673,0.0614365766683647,0.0495669893020886,0.0435048395313296,0.0253693326541009,0.0241976566479878,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.364099490560384,0.384701827989212,0.0843572070722206,0.166841474378184
"10",10,"11018","Hemiksem","Vlaanderen",12396,"Hemiksem",12396,0.496289125524363,0.503710874475637,1,0,0,0,0,0,0.0578412391093901,0.058728622136173,0.069054533720555,0.0655856727976767,0.0514682155534043,0.0534849951597289,0.0671184252984834,0.0665537270087125,0.0707486285898677,0.0671184252984834,0.0658276863504356,0.0701032591158438,0.06405292029687,0.0492094223943207,0.0430784123910939,0.037350758309132,0.0207324943530171,0.0219425621168119,0,0,0.11,0.255,0.345,0.187,0.077,0.026,0,0,0.384442605508925,0.377349568506916,0.0836978366237144,0.154509989360444
